candidate,image_file,image_url,news_source,news_source_url,image_hash,bias_rating,facebook_p,facebookbias_rating,facebook_int,combine_rating,,,,,,
donald_trump,3_donald_trump.jpg,https://fortunedotcom.files.wordpress.com/2016/10/donald-trump-drop-out.jpg,Fortune,http://fortune.com/2016/10/08/donald-trump-republicans-drop-out/,1b0b490959c9cece,999,,999,999,Unknown / unreliable,,,"markets, retail",,,
donald_trump,6_donald_trump.jpg,http://www.thewrap.com/wp-content/uploads/2016/10/DonaldTrump-4.jpg,TheWrap,http://www.thewrap.com/donald-trump-election-day-campaign-conspiracy-theory-polls-phony/,1a9b96929a4c1f1e,999,,999,999,Unknown / unreliable,,,Digital news org covering business of entertainment and media,,,
donald_trump,7_donald_trump.jpg,http://a.abcnews.com/images/Politics/GTY_donald_trump_jef_161010_12x5_1600.jpg,ABC News - Go.com,http://abcnews.go.com/Politics/women-claim-donald-trump-touched-inappropriately-new-york-times/story?id\u003d42766847,0f0f0f0e0d8d0d4c,999,,999,999,Unknown / unreliable,,,,,,
donald_trump,11_donald_trump.jpg,https://www.biography.com/.image/c_fit,Cargo,http://cargocollective.com/mix2/Donald-Trump,e0cc0e84ced695bd,999,,999,999,Unknown / unreliable,,,photo collection,,,
donald_trump,12_donald_trump.jpg,https://fortunedotcom.files.wordpress.com/2016/10/donald-trump-las-vegas-2016-presidential-debate-ap_16294092686677.jpg,Fortune,http://fortune.com/2016/10/21/donald-trump-losing-presidential-election/,0f0f4f4f4f4ccc8f,999,,999,999,Unknown / unreliable,,,,,,
donald_trump,16_donald_trump.jpg,http://esq.h-cdn.co/assets/16/10/1600x900/hd-aspect-1457631858-trump-rally.jpg,Esquire,http://www.esquire.com/news-politics/a37230/donald-trump-esquire-cover-story-august-2004/,347d5c7d6d3f3b3b,999,,999,999,Unknown / unreliable,,,men's magazine,,,
donald_trump,17_donald_trump.jpg,http://www.thewrap.com/wp-content/uploads/2016/10/Donald-Trump.png,TheWrap,http://www.thewrap.com/dump-trump-5-stars-who-have-dumped-donald-trump/,9098d8d9d84ccd4f,999,,999,999,Unknown / unreliable,,,,,,
donald_trump,22_donald_trump.jpg,https://pmcvariety.files.wordpress.com/2016/09/donald-trump-presidential-debate.jpg?w\u003d670\u0026h\u003d377\u0026crop\u003d1,Variety,http://variety.com/2016/biz/news/donald-trump-access-hollywood-1201882204/,0b4b0f4b494bcbca,999,,999,999,Unknown / unreliable,,,,,,
donald_trump,24_donald_trump.jpg,http://www.thewrap.com/wp-content/uploads/2016/04/Central-Park-5-Donald-Trump.jpg,TheWrap,http://www.thewrap.com/heres-every-vile-comment-donald-trump-made-about-women-to-billy-bush/,306c6c4dcc0c1c1c,999,,999,999,Unknown / unreliable,,,,,,
donald_trump,27_donald_trump.jpg,http://i.ndtvimg.com/i/2016-10/donald-trump-afp_650x400_61476947056.jpg,NDTV.com,http://www.ndtv.com/world-news/grave-concerns-about-donald-trumps-mental-stability-harvard-doctors-1639528,63a707077272373e,999,,999,999,Unknown / unreliable,,,Indian news outlet,,,
donald_trump,40_donald_trump.jpg,http://cdn1.thr.com/sites/default/files/imagecache/768x433/2015/08/splash-trump-a1.jpg,Hollywood Reporter,http://www.hollywoodreporter.com/features/donald-trump-murdoch-ailes-nbc-816131,1b5b1b1b4949cdac,999,,999,999,Unknown / unreliable,,,,,,
donald_trump,41_donald_trump.jpg,http://www.conservapedia.com/images/thumb/3/30/Donald_Trump_(29273256122)_Phoenix.jpg/250px-Donald_Trump_(29273256122)_Phoenix.jpg,Conservapedia,http://www.conservapedia.com/Donald_Trump,1e17070706a69595,999,,999,999,Unknown / unreliable,,,Encyclopedia page supporting Trump,,,
donald_trump,42_donald_trump.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Donald_Trump_by_Gage_Skidmore.jpg/220px-Donald_Trump_by_Gage_Skidmore.jpg,Wikiquote,https://en.wikiquote.org/wiki/Donald_Trump,0e86971f8e979696,999,,999,999,Unknown / unreliable,,,Trump quotes,,,
donald_trump,43_donald_trump.jpg,https://www.ncronline.org/sites/default/files/styles/article_slideshow/public/stories/images/20160808T1310-0919-CNS-SISTERS-LETTER-CIVILITY%20(1).jpg?itok\u003dDNNtcPNf,National Catholic Reporter,https://www.ncronline.org/news/politics/trumps-pledge-catholics-ill-be-there-yo,00094d4d4d494e0e,999,,999,999,Unknown / unreliable,,,National Catholic Reporter Headquartered in Kansas City,,,
donald_trump,52_donald_trump.jpg,http://www1.cbn.com/sites/default/files/styles/original/public/donaldtrumpbrody2_si.jpg?itok\u003d1HnFEGFg,CBN.com,http://www1.cbn.com/thebrodyfile/archive/2016/09/09/brody-file-exclusive-donald-trump-says-this-will-be-the-last-election-that-the-republicans-have-a-chance-of-winning,0286222366e26666,999,,999,999,Unknown / unreliable,,,CBN news  the christian perspective,,,
donald_trump,57_donald_trump.jpg,http://images.performgroup.com/di/library/sporting_news/36/51/donald-trump-getty-ftrjpg_165o0qrikr9na1ja89en7x03tn.jpg?t\u003d-1367143641,Sporting New,http://www.sportingnews.com/mlb/news/donald-trump-election-day-sports-tweets-alex-rodriguez-yankees-george-steinbrenner-pete-rose/hhir58ofbf2k1ijhxeybcid7m,4d4dcecac94dcccc,999,,999,999,Unknown / unreliable,,,,,,
donald_trump,61_donald_trump.jpg,https://i2.wp.com/newsexaminer.net/wp-content/uploads/2015/05/Donald-Trump.jpg?fit\u003d810%2C506,News Examiner,http://newsexaminer.net/politics/donald-trump-the-least-charitable-billionaire/,0d0d0dcd6dcccccc,999,,999,999,Unknown / unreliable,,,,,,
